DATE,VVAR,MGLU3
2019-01-2,4.38,23.25
2019-01-3,4.31,23
2019-01-4,4.27,22.3
2019-01-7,4.24,22.65
2019-01-8,4.04,22.46
2019-01-9,4.01,22.39
2019-01-10,4.42,22.61
2019-01-11,4.51,22.2
2019-01-14,4.82,22.38
2019-01-15,4.98,22.12
2019-01-16,5.05,21.88
2019-01-17,4.93,21.81
2019-01-18,4.88,21.78
2019-01-21,4.8,20.88
2019-01-22,4.93,20.26
2019-01-23,5.16,21.2
2019-01-24,5.49,20.94
2019-01-28,5.35,20.92
2019-01-29,5.67,22.26
2019-01-30,5.77,22.02
2019-01-31,6,22.38
2019-02-1,5.96,22.35
2019-02-4,5.99,22.13
2019-02-5,5.79,21.94
2019-02-6,5.29,21.21
2019-02-7,5.45,20.85
2019-02-8,5.56,21.25
2019-02-11,5.52,20.67
2019-02-12,5.56,20.6
2019-02-13,5.45,20.16
2019-02-14,5.45,21.34
2019-02-15,5.28,20.5
2019-02-18,5.47,21.07
2019-02-19,5.28,21.21
2019-02-20,5.21,20.31
2019-02-21,4.67,20.14
2019-02-22,4.72,22.24
2019-02-25,4.97,21.71
2019-02-26,4.77,22.31
2019-02-27,4.64,22
2019-02-28,4.58,21.68
2019-03-1,4.54,21.9
2019-03-6,4.39,21.45
2019-03-7,4.41,22.14
2019-03-8,4.68,22.6
2019-03-11,4.76,22.82
2019-03-12,4.84,22.36
2019-03-13,4.62,22.16
2019-03-14,4.64,22.06
2019-03-15,4.54,22.15
2019-03-18,4.59,22.55
2019-03-19,4.64,22.59
2019-03-20,4.58,22.7
2019-03-21,4.55,22.78
2019-03-22,4.33,21.66
2019-03-25,4.33,21.64
2019-03-26,4.36,22.07
2019-03-27,4.11,21
2019-03-28,4.18,21.35
2019-03-29,4.22,21.61
2019-04-1,4.27,21.41
2019-04-2,4.55,20.77
2019-04-3,4.38,21.13
2019-04-4,4.38,21.13
2019-04-5,4.53,21.25
2019-04-8,4.37,20.84
2019-04-9,4.34,20.79
2019-04-10,4.31,21.09
2019-04-11,4.29,20.75
2019-04-12,4.16,20.6
2019-04-15,4.15,20.44
2019-04-16,4.01,20.34
2019-04-17,3.92,19.98
2019-04-18,3.95,21.35
2019-04-22,3.84,20.9
2019-04-23,3.93,21.38
2019-04-24,3.93,21.56
2019-04-25,4.02,21.88
2019-04-26,4.03,22.37
2019-04-29,4.12,22.31
2019-04-30,4.1,23.91
2019-05-2,4.14,23.84
2019-05-3,4.52,24.53
2019-05-6,4.56,25.03
2019-05-7,4.72,24.02
2019-05-8,4.53,24.19
2019-05-9,4.74,23.24
2019-05-10,4.61,23.31
2019-05-13,4.73,22.5
2019-05-14,4.55,22.28
2019-05-15,4.3,21.63
2019-05-16,4.09,20.88
2019-05-17,4.03,21.1
2019-05-20,4.11,21.63
2019-05-21,4.31,22.43
2019-05-22,4.32,22.53
2019-05-23,4.2,22.56
2019-05-24,4.2,22.11
2019-05-27,4.26,22.25
2019-05-28,4.41,23.63
2019-05-29,4.58,23.66
2019-05-30,4.8,24.11
2019-05-31,4.7,24.5
2019-06-3,4.96,24.34
2019-06-4,4.86,24.32
2019-06-5,4.65,23.9
2019-06-6,4.95,23.75
2019-06-7,5,24.81
2019-06-10,5.06,25.31
2019-06-11,5,25.9
2019-06-12,4.84,25.39
2019-06-13,5.04,26.2
2019-06-14,4.97,26.45
2019-06-17,5.07,25.94
2019-06-18,5.07,26.01
2019-06-19,5.06,26.25
2019-06-21,5.1,26.58
2019-06-24,5.11,26.25
2019-06-25,5.04,25.81
2019-06-26,4.98,26.06
2019-06-27,4.97,26.08
2019-06-28,5.07,26.39
2019-07-1,5.12,26.28
2019-07-2,5.45,26.56
2019-07-3,5.93,27.61
2019-07-4,6.24,27.64
2019-07-5,6.35,28.26
2019-07-8,6.75,28.68
2019-07-10,6.73,29.19
2019-07-11,6.5,28.85
2019-07-12,6.52,29.01
2019-07-15,7.03,28.83
2019-07-16,7.13,29.25
2019-07-17,7.31,30.55
2019-07-18,7.38,30.88
2019-07-19,7.15,29.76
2019-07-22,7.05,30.92
2019-07-23,6.92,30.25
2019-07-24,7.32,30.73
2019-07-25,7.1,30.56
2019-07-26,7.34,31.5
2019-07-29,7.68,32.98
2019-07-30,7.62,33.07
2019-07-31,7.72,32.97
2019-08-1,8.2,34.56
2019-08-2,8.19,35.44
2019-08-5,7.92,34.5
2019-08-6,8.18,36.6
2019-08-7,8.44,36.31
2019-08-8,8.53,37.14
2019-08-9,8.53,37.78
2019-08-12,8.28,36.42
2019-08-13,8.46,37.85
2019-08-14,8.11,36.95
2019-08-15,7.69,36.31
2019-08-16,7.12,37.56
2019-08-19,6.73,37.83
2019-08-20,7.06,36.53
2019-08-21,7.18,36.54
2019-08-22,6.9,34.43
2019-08-23,6.79,33.78
2019-08-26,6.48,33.7
2019-08-27,6.85,34.21
2019-08-28,7,34.91
2019-08-29,7.31,37.26
2019-08-30,7.73,36.29
2019-09-2,7.79,36.61
2019-09-3,7.56,35.88
2019-09-4,7.62,37.2
2019-09-5,7.55,36.7
2019-09-6,7.38,36
2019-09-9,7.01,34.2
2019-09-10,6.78,32.5
2019-09-11,6.98,34.6
2019-09-12,7.1,35
2019-09-13,6.91,34.1
2019-09-16,6.95,34.87
2019-09-17,6.97,34.85
2019-09-18,7.03,35.06
2019-09-19,7.4,35.81
2019-09-20,7.4,36.56
2019-09-23,7.56,35.99
2019-09-24,7.47,36.77
2019-09-25,7.64,36.72
2019-09-26,7.86,36.57
2019-09-27,7.87,36.8
2019-09-30,7.92,37.04
2019-10-1,7.8,37.45
2019-10-2,7.47,36.5
2019-10-3,7.8,37.3
2019-10-4,7.89,38.78
2019-10-7,7.83,38.4
2019-10-8,7.72,38
2019-10-9,7.59,39.65
2019-10-10,7.53,38.94
2019-10-11,7.75,40.5
2019-10-14,7.78,42.17
2019-10-15,7.79,41.8
2019-10-16,7.82,42.76
2019-10-17,7.9,43.17
2019-10-18,7.84,43
2019-10-21,7.81,43.1
2019-10-22,7.81,43.72
2019-10-23,7.65,43.49
2019-10-24,7.49,43.25
2019-10-25,7.43,42
2019-10-28,7.36,42.67
2019-10-29,7.35,41.15
2019-10-30,7.4,44.02
2019-10-31,7.42,44.64
2019-11-1,7.64,47.19
2019-11-4,7.57,44.97
2019-11-5,7.38,44.04
2019-11-6,7.45,45.2
2019-11-7,7.42,44.2
2019-11-8,7.25,43.81
2019-11-11,7.31,45.02
2019-11-12,7.09,43.4
2019-11-13,7.02,42.5
2019-11-14,7.6,44.25
2019-11-18,7.56,44.98
2019-11-19,7.45,44.52
2019-11-21,7.55,45
2019-11-22,7.86,45.49
2019-11-25,7.93,44.3
2019-11-26,7.95,43.04
2019-11-27,8.27,45.6
2019-11-28,8.59,45.6
2019-11-29,8.81,45.03
2019-12-2,9.17,44.92
2019-12-3,9.5,44.59
2019-12-4,9.45,44.07
2019-12-5,9.32,44.89
2019-12-6,10,45.4
2019-12-9,10.23,45.85
2019-12-10,10.2,46.6
2019-12-11,10.32,47.58
2019-12-12,10,47.83
2019-12-13,10.87,49.07
2019-12-16,11.25,49.3
2019-12-17,10.99,47.88
2019-12-18,11.26,48.53
2019-12-19,11.24,48.62
2019-12-20,11.37,48.59
2019-12-23,11.67,48.74
2019-12-26,11.8,49.09
2019-12-27,11.5,48.73
2019-12-30,11.17,47.7
